sample_id,everyday_sentence,clinical_sentence,naturalness_1to5,clinical_accuracy_1to5,register_mismatch_yn,notes
pairs_20260710T133708Z#47,"My memory's been really fuzzy lately, so I should probably get my","I have mild cognitive impairment, so I should probably get my",,,,
pairs_20260707T025842Z#36,"I've been tossing and turning all week, so my wife says I need to see a","I've been experiencing insomnia all week, so my wife says I need to see a",,,,
pairs_20260706T175614Z#3,"This pounding in my head is splitting, so at lunch I think I'll grab a","This migraine is splitting, so at lunch I think I'll grab a",,,,
pairs_20260710T011743Z#32,"I keep waking up covered in sweat at night, so I should talk to a","I have night sweats, so I should talk to a",,,,
pairs_20260710T133708Z#45,"My eyes are all scratchy and watery, so I need to use my","I have dry eye syndrome, so I need to use my",,,,
pairs_20260706T175614Z#4,"He's all stuffed up and sneezy from the pollen, so he's off to buy some","He's got seasonal hay fever from the pollen, so he's off to buy some",,,,
pairs_20260710T163230Z#49,"I've been feeling really dizzy and the room won't stop spinning, so I might need to take an","I've been experiencing vertigo and the room won't stop spinning, so I might need to take an",,,,
pairs_20260710T050657Z#21,"I've been feeling all wound up lately, so I'm thinking about taking some","I've been feeling anxious lately, so I'm thinking about taking some",,,,
pairs_20260707T023704Z#14,"She keeps waking up in a cold sweat every night, so she finally called her","She keeps experiencing nocturnal hyperhidrosis every night, so she finally called her",,,,
pairs_20260707T023656Z#38,"The dust always sets off my sniffles at grandma's, so I always pack a little","The dust always sets off my allergic rhinitis at grandma's, so I always pack a little",,,,
pairs_20260707T171223Z#119,"Grandma's been all bunged up for a week, so before dinner she took a","Grandma's been constipated for a week, so before dinner she took a",,,,
pairs_20260710T092635Z#18,"I feel like my heart's racing all the time, so I need to check my","I have tachycardia, so I need to check my",,,,
pairs_20260707T023704Z#10,"Now that my joints are killing me every morning, I finally asked my doctor for a","Now that my arthritis is flaring up every morning, I finally asked my doctor for a",,,,
pairs_20260707T023706Z#12,"My stomach's been off, so I'm going to grab some","My gastric reflux is acting up, so I'm going to grab some",,,,
pairs_20260712T051903Z#26,"I feel like I'm losing my marbles lately, so I should probably get my","I have dementia, so I should probably get my",,,,
pairs_20260707T221438Z#5,"She's been really wired and jumpy lately, so she made an","She's had severe panic attacks lately, so she made an",,,,
pairs_20260711T131752Z#6,"I get out of breath going up stairs, so I'm worried I might have a","I have dyspnea with exertion, so I'm worried I might have a",,,,
pairs_20260710T133708Z#4,"I feel dizzy after eating a big meal, so I should avoid my","I have postprandial hypoglycemia after eating a big meal, so I should avoid my",,,,
pairs_20260711T051145Z#8,"My stomach's been acting weird, so I should probably take my","I have gastroenteritis, so I should probably take my",,,,
pairs_20260710T092635Z#43,"I keep getting this weird clicking and popping in my knee when I walk, so my trainer says I should probably get my","I keep getting crepitus in my knee when I walk, so my trainer says I should probably get my",,,,
pairs_20260707T025842Z#50,"I've been feeling the pressure in my chest, so I need to get my","I've been feeling hypertension in my chest, so I need to get my",,,,
pairs_20260712T051903Z#48,"I've been having trouble concentrating at my desk, so my coworker says I might have a","I've been having trouble concentrating at my desk, so my coworker says I might have attention",,,,
pairs_20260707T215921Z#39,"He's been feeling a bit off in the gut all week, so his boss told him to see a","He's been having chronic indigestion all week, so his boss told him to see a",,,,
pairs_20260707T171223Z#24,"He keeps getting these racing-heart spells at his desk, so his doctor put him on a","He keeps getting these tachycardia spells at his desk, so his doctor put him on a",,,,
pairs_20260707T221438Z#19,"His back's been playing up for months, so the physio fitted him with a","His chronic lower back pain has lasted for months, so the physio fitted him with a",,,,
pairs_20260710T092635Z#49,"My legs feel really heavy and tingly when I walk, so I'm going to need to get my","I have peripheral neuropathy when I walk, so I'm going to need to get my",,,,
pairs_20260707T023706Z#44,"My skin's been itchy and red in patches, so before bed I should rub on a","My dermatitis is itchy and red in patches, so before bed I should rub on a",,,,
pairs_20260707T023656Z#47,"My old bones ache something awful in the cold, so every morning I take a","My chronic arthritis aches something awful in the cold, so every morning I take a",,,,
pairs_20260707T171223Z#102,"Since my nose has been all stuffed up this week, at the counter I asked for a","Since I've had allergic rhinitis this week, at the counter I asked for a",,,,
pairs_20260710T163230Z#2,"I keep getting these dizzy spells, so I should see a","I have vertigo, so I should see a",,,,
pairs_20260707T215921Z#44,"After the big lunch I got the burps something awful, so I popped an","After the big lunch I got acid reflux something awful, so I popped an",,,,
pairs_20260706T210703Z#6,"Whenever that sour burn creeps up after a big meal, I lean on my nightstand and grab my","Whenever my acid reflux creeps up after a big meal, I lean on my nightstand and grab my",,,,
pairs_20260707T154345Z#11,"Grandpa's ticker's been racing all day, so we grabbed his","Grandpa's atrial fibrillation flared all day, so we grabbed his",,,,
pairs_20260707T023656Z#41,"The pollen's got my chest all tight this morning, so I picked up an","My allergic asthma has flared this morning, so I picked up an",,,,
pairs_20260707T023706Z#8,"The itchy patch on my leg won't go away, so I should apply some","The atopic dermatitis on my leg won't go away, so I should apply some",,,,
pairs_20260711T051145Z#32,"I've been feeling really spacey and out of it, so I should probably see a","I've been experiencing dissociation, so I should probably see a",,,,
pairs_20260706T201750Z#11,"After that greasy takeaway my gut was burning again, so I rummaged in the cupboard for an","After that greasy takeaway my acid reflux flared again, so I rummaged in the cupboard for an",,,,
pairs_20260707T023656Z#48,"The old ticker's been pounding way too high lately, so my wife makes me check my","My hypertension's been pounding way too high lately, so my wife makes me check my",,,,
pairs_20260706T201750Z#13,"Every spring my nose runs and my eyes water at the picnic, so I always pack some","Every spring my seasonal allergies act up at the picnic, so I always pack some",,,,
pairs_20260707T025842Z#41,"I've been tossing around all night because my mind won't shut up, so I need to see a","I've been tossing around all night because I have racing thoughts, so I need to see a",,,,
pairs_20260711T131752Z#11,"My ears feel blocked, so I should probably get my","I have cerumen impaction, so I should probably get my",,,,
pairs_20260710T011743Z#3,"I'm always out of breath after walking up stairs, so my","I have dyspnea, so my",,,,
pairs_20260707T023656Z#50,"My blood pressure's been through the roof lately, so my doctor put me on a daily","My hypertension's been through the roof lately, so my doctor put me on a daily",,,,
pairs_20260707T171223Z#32,"Ever since the layoffs I can't drop off at night, so my GP wrote me a","Ever since the layoffs I've had insomnia at night, so my GP wrote me a",,,,
pairs_20260707T154345Z#7,"My guts are acting up after every meal, so I keep chewing an","My acid reflux flares up after every meal, so I keep chewing an",,,,
pairs_20260707T025842Z#37,"This weird patch on my skin won't stop oozing, so I really ought to book an","This dermatitis on my skin won't stop oozing, so I really ought to book an",,,,
pairs_20260707T023656Z#26,"My belly's been all knotted up and gassy after meals, so I picked up an","My irritable bowel has been all knotted up and gassy after meals, so I picked up an",,,,
pairs_20260710T011743Z#10,"After I eat, my stomach bloats up like a balloon, so I might need to take some","After I eat, I experience postprandial distension, so I might need to take some",,,,
pairs_20260710T092635Z#6,"I've been seeing double, so I need to schedule an","I have diplopia, so I need to schedule an",,,,
pairs_20260710T050657Z#23,"I've got brain fog that won't go away, so I need to check my","I have cognitive impairment that won't go away, so I need to check my",,,,
pairs_20260710T163230Z#43,"I've been getting this weird tingling sensation that won't go away, so I should probably take my","I've been experiencing paresthesia in my extremities, so I should probably take my",,,,
pairs_20260710T163230Z#19,"My hands keep going numb during the night, so I wonder if I should take an","I have paresthesia, so I wonder if I should take an",,,,
pairs_20260707T221438Z#27,"I've been feeling really jumpy and on edge all week, so my doctor wrote me a","I've been having a generalized anxiety disorder flare all week, so my doctor wrote me a",,,,
pairs_20260712T051903Z#49,"I've been feeling lightheaded and dizzy, so I need to get my","I have orthostatic hypotension, so I need to get my",,,,
pairs_20260707T023706Z#7,"I've been having stomach troubles for weeks, so I need to take my","I've been having irritable bowel syndrome for weeks, so I need to take my",,,,
pairs_20260707T154345Z#20,"Every time I climb the stairs I get winded, so the nurse handed me an","Every time I climb the stairs I get dyspneic, so the nurse handed me an",,,,
pairs_20260710T011743Z#43,"I feel like my blood sugar is crashing after lunch, so I need to check my","I have hypoglycemia after lunch, so I need to check my",,,,
pairs_20260710T050657Z#32,"I've been forgetting things at work a lot, so I should probably see a","I have cognitive impairment, so I should probably see a",,,,
pairs_20260707T221438Z#49,"During the barbecue my chest got all tight and whistly, so I reached for an","During the barbecue I had bronchospasm, so I reached for an",,,,
pairs_20260707T023704Z#8,"He's had the trots since lunch, so he needs to buy some","He's had acute diarrhea since lunch, so he needs to buy some",,,,
pairs_20260710T011743Z#5,"I feel like I'm losing my marbles, so I need to see a","I have cognitive decline, so I need to see a",,,,
pairs_20260707T025842Z#7,"I've been tossing and turning all night, so my doctor said to take my","I've been having insomnia all night, so my doctor said to take my",,,,
pairs_20260706T210703Z#5,"My little girl's been sneezing her head off in the garden all spring, so I booked her in to see the","My little girl's been suffering from allergic rhinitis in the garden all spring, so I booked her in to see the",,,,
pairs_20260712T051903Z#27,"I've been feeling woozy when I stand up fast, so I need to check my","I've been experiencing orthostatic hypotension, so I need to check my",,,,
pairs_20260710T092635Z#31,"I've been having these tingling sensations down my leg, so my doctor wants to order an","I've been having neuropathic pain radiating down my leg, so my doctor wants to order an",,,,
pairs_20260707T215921Z#74,"He keeps sawing logs so loud all night, so the clinic fitted him with a","He keeps having sleep apnea all night, so the clinic fitted him with a",,,,
pairs_20260706T201750Z#2,"That awful pounding behind my eye is back, so I dug through my bag for a","That awful migraine is back, so I dug through my bag for a",,,,
pairs_20260712T051903Z#18,"I feel like I'm getting forgetful, so I should probably get my","I have cognitive decline, so I should probably get my",,,,
pairs_20260707T215921Z#32,"Ever since the chili night I've had wicked heartburn, so with dinner I ordered a","Ever since the chili night I've had acid reflux, so with dinner I ordered a",,,,
pairs_20260710T050657Z#39,"I keep getting this weird numbness in my fingers when I wake up, so I should probably see a","I keep experiencing paresthesia in my fingers when I wake up, so I should probably see a",,,,
pairs_20260707T171223Z#75,"Ever since the breakup I feel wired and jumpy all day, so my doctor started me on a","Ever since the breakup my generalized anxiety flares all day, so my doctor started me on a",,,,
pairs_20260707T221438Z#11,Before bed every night I line up my heart stuff and swallow the,Before bed every night I line up my antihypertensives and swallow the,,,,
pairs_20260710T011743Z#27,"I've been bringing up phlegm with a nasty taste, so my","I have purulent sputum production, so my",,,,
pairs_20260711T131752Z#26,"I've been having trouble with my waterworks down there, so I should probably see a","I've been having urinary dysfunction down there, so I should probably see a",,,,
pairs_20260711T051145Z#4,"I feel foggy all the time, so my doctor wants me to take an","I have hypothyroidism, so my doctor wants me to take an",,,,
pairs_20260706T175614Z#1,"I've been tossing and turning all week, so tonight I'm gonna take a","I've been having chronic insomnia all week, so tonight I'm gonna take a",,,,
pairs_20260707T171223Z#39,"My lower back's been killing me since the move, so at the pharmacy I grabbed a","My chronic lumbar pain has flared since the move, so at the pharmacy I grabbed a",,,,
pairs_20260710T133708Z#37,"I get this weird prickling sensation all over when the weather changes, so my doctor thinks it might be my","I experience paresthesia during barometric pressure changes, so my doctor thinks it might be my",,,,
pairs_20260707T221438Z#33,"Every time he gets worked up his blood pressure shoots up, so the nurse fastened a","Every time he gets worked up his hypertension worsens, so the nurse fastened a",,,,
pairs_20260707T023704Z#5,"Since the wheezes are acting up again today, I should reach for my","Since my asthma is acting up again today, I should reach for my",,,,
pairs_20260710T133708Z#20,"I've got this ringing in my ears, so my doctor wants me to get my","I have tinnitus, so my doctor wants me to get my",,,,
pairs_20260710T092635Z#45,"I've been getting this awful burning feeling when I go to the bathroom, so I definitely need to take my","I've been experiencing dysuria, so I definitely need to take my",,,,
pairs_20260706T210703Z#1,"My son's been rubbing his itchy eyes and honking his nose all pollen season, so I called his","My son's been diagnosed with allergic rhinitis this pollen season, so I called his",,,,
pairs_20260706T201750Z#1,"I just can't seem to nod off no matter what, so my doctor started me on a","I just can't seem to fall asleep due to insomnia, so my doctor started me on a",,,,
pairs_20260707T023704Z#26,"I've had shooting pains down my leg for days now, so I finally went to see a","I've had sciatica for days now, so I finally went to see a",,,,
